raw_name,standard_name,verification_status,source_url,notes,count
京东 JD.COM,京东,中,https://www.jd.com/,包含京东/JD关键词,1
奢品鉴别中心,奢品鉴别中心,中,,按原表企业名保留，未命中已知别名库,1
有方道少儿英酒,有方道少儿英酒,中,,按原表企业名保留，未命中已知别名库,1
理想汽车,理想汽车,中,,按原表企业名保留，未命中已知别名库,4
小米汽车,小米,中,https://www.mi.com/about/,包含小米/Xiaomi关键词,1
华为,华为,高,https://www.huawei.com/cn/corporate-information,官网标准名称,18
航天9院摩索,航天9院摩索,中,,按原表企业名保留，未命中已知别名库,1
某特种电源龙头企业,某特种电源龙头企业,中,,按原表企业名保留，未命中已知别名库,1
北方集成电路,北方集成电路,中,,按原表企业名保留，未命中已知别名库,1
中车北京某所,中车北京某所,中,,按原表企业名保留，未命中已知别名库,1
中期中电设计院,中期中电设计院,中,,按原表企业名保留，未命中已知别名库,1
ByteDance,字节跳动,中,https://www.bytedance.com/zh/,包含字节/ByteDance关键词,1
快手,快手,中,https://www.kuaishou.com/,常用品牌名,1
地地,地地,待核实,,企业名过短或匿名化，需人工复核,1
芳佩拉斯许家,芳佩拉斯许家,中,,按原表企业名保留，未命中已知别名库,1
字节跳动,字节跳动,高,https://www.bytedance.com/zh/,官网标准名称,6
腾讯,腾讯,高,https://www.tencent.com/zh-cn/about.html,官网标准名称,6
OPPO,OPPO,中,https://www.oppo.com/cn/about/,官网品牌名,1
小米,小米,中,https://www.mi.com/about/,常用品牌名,5
中兴通信,中兴通讯,中,https://www.zte.com.cn/,包含中兴/ZTE关键词,1
和而泰智能控制,和而泰智能控制,中,,按原表企业名保留，未命中已知别名库,1
大疆,大疆,中,https://www.dji.com/cn,常用品牌名,1
卓育科技,卓育科技,中,,按原表企业名保留，未命中已知别名库,1
中车湖南株洲,中车湖南株洲,中,,按原表企业名保留，未命中已知别名库,1
三一重工,三一重工,中,,按原表企业名保留，未命中已知别名库,2
中联重科,中联重科,中,,按原表企业名保留，未命中已知别名库,1
江苏电信省直属单位,江苏电信省直属单位,中,,按原表企业名保留，未命中已知别名库,1
比亚迪汽车工程院,比亚迪汽车工程院,中,,按原表企业名保留，未命中已知别名库,1
中兴,中兴通讯,中,https://www.zte.com.cn/,简称标准化,1
庆元姆斯,庆元姆斯,中,,按原表企业名保留，未命中已知别名库,1
东管姆斯,东管姆斯,中,,按原表企业名保留，未命中已知别名库,1
广州姆斯,广州姆斯,中,,按原表企业名保留，未命中已知别名库,2
中航光电,中航光电,中,,按原表企业名保留，未命中已知别名库,2
中国电科28所,中国电科28所,中,,按原表企业名保留，未命中已知别名库,1
航空工业,航空工业,中,,按原表企业名保留，未命中已知别名库,1
西北省份985高校,西北省份985高校,中,,按原表企业名保留，未命中已知别名库,1
西安研究所,西安研究所,中,,按原表企业名保留，未命中已知别名库,1
西安211高校,西安211高校,中,,按原表企业名保留，未命中已知别名库,1
北京事业单位,北京事业单位,中,,按原表企业名保留，未命中已知别名库,1
小红书,小红书,中,https://www.xiaohongshu.com/,常用品牌名,3
航天科技第五研究院总体部,航天科技第五研究院总体部,中,,按原表企业名保留，未命中已知别名库,1
京东,京东,中,https://www.jd.com/,常用品牌名,13
中国石油,中国石油,中,,按原表企业名保留，未命中已知别名库,3
中国石化SINOPEC,中国石化SINOPEC,中,,按原表企业名保留，未命中已知别名库,1
大疆创新,大疆,中,https://www.dji.com/cn,公司/品牌标准化,2
开立医疗,开立医疗,中,,按原表企业名保留，未命中已知别名库,1
飞利浦,飞利浦,中,,按原表企业名保留，未命中已知别名库,1
bilibili,哔哩哔哩,中,https://www.bilibili.com/blackboard/aboutUs.html,英文品牌名标准化,1
aaaouc,aaaouc,待核实,,纯英文或缩写企业名，需人工复核,1
美团,美团,中,https://about.meituan.com/,常用品牌名,6
盛邦威电子,盛邦威电子,中,,按原表企业名保留，未命中已知别名库,1
心动科技,心动科技,中,,按原表企业名保留，未命中已知别名库,1
男薪半导体,男薪半导体,中,,按原表企业名保留，未命中已知别名库,1
百度,百度,中,https://www.baidu.com/,常用品牌名,8
滴滴,滴滴,中,https://www.didiglobal.com/,常用品牌名,5
SAP 赛普,SAP 赛普,中,,按原表企业名保留，未命中已知别名库,1
马以集团,马以集团,中,,按原表企业名保留，未命中已知别名库,1
广汽集团,广汽集团,中,,按原表企业名保留，未命中已知别名库,1
长江存储,长江存储,中,,按原表企业名保留，未命中已知别名库,3
迈瑞,迈瑞医疗,中,https://www.mindray.com/cn,简称标准化,2
海康盈石,海康盈石,中,,按原表企业名保留，未命中已知别名库,1
小鹏汽车,小鹏汽车,中,,按原表企业名保留，未命中已知别名库,1
比亚迪,比亚迪,中,https://www.byd.com/cn,常用品牌名,4
元龙企行,元龙企行,中,,按原表企业名保留，未命中已知别名库,1
中芯国际,中芯国际,中,,按原表企业名保留，未命中已知别名库,3
北方华创,北方华创,中,,按原表企业名保留，未命中已知别名库,1
211高校,211高校,中,,按原表企业名保留，未命中已知别名库,1
VOLKSWAGEN,大众汽车集团,中,https://www.volkswagen-group.com/,英文品牌名标准化,1
新凯来,新凯来,中,,按原表企业名保留，未命中已知别名库,2
地平线,地平线,中,,按原表企业名保留，未命中已知别名库,1
海光信息技术,海光信息技术,中,,按原表企业名保留，未命中已知别名库,1
比亚迪股份有限公司,比亚迪股份有限公司,中,,按原表企业名保留，未命中已知别名库,4
语数科技,语数科技,中,,按原表企业名保留，未命中已知别名库,2
联影,联影医疗,中,https://www.united-imaging.com/cn,简称标准化,1
比亚迪汽车工业有限公司,比亚迪汽车工业有限公司,中,,按原表企业名保留，未命中已知别名库,2
