raw_name,standard_name,verification_status,source_url,notes,count
地地,地地,待核实,,企业名过短或匿名化，需人工复核,1
aaaouc,aaaouc,待核实,,纯英文或缩写企业名，需人工复核,1
未知,未知,待核实,,企业名过短或匿名化，需人工复核,2
担心,担心,待核实,,企业名过短或匿名化，需人工复核,1
EOOMN,EOOMN,待核实,,纯英文或缩写企业名，需人工复核,1
重工,重工,待核实,,企业名过短或匿名化，需人工复核,1
天响,天响,待核实,,企业名过短或匿名化，需人工复核,1
BPF,BPF,待核实,,纯英文或缩写企业名，需人工复核,1
Shopee,Shopee,待核实,,纯英文或缩写企业名，需人工复核,1
海尔,海尔,待核实,,企业名过短或匿名化，需人工复核,1
BOE,BOE,待核实,,纯英文或缩写企业名，需人工复核,1
TCL,TCL,待核实,,纯英文或缩写企业名，需人工复核,2
ellenc,ellenc,待核实,,纯英文或缩写企业名，需人工复核,1
GuangzhouShiyuanElectronicsCo.Ltd,GuangzhouShiyuanElectronicsCo.Ltd,待核实,,纯英文或缩写企业名，需人工复核,1
XINJE,XINJE,待核实,,纯英文或缩写企业名，需人工复核,1
LOW,LOW,待核实,,纯英文或缩写企业名，需人工复核,1
ASANY,ASANY,待核实,,纯英文或缩写企业名，需人工复核,1
博世,博世,待核实,,企业名过短或匿名化，需人工复核,1
iberHome,iberHome,待核实,,纯英文或缩写企业名，需人工复核,1
集团,集团,待核实,,企业名过短或匿名化，需人工复核,1
海信,海信,待核实,,企业名过短或匿名化，需人工复核,1
荣耀,荣耀,待核实,,企业名过短或匿名化，需人工复核,2
JANG,JANG,待核实,,纯英文或缩写企业名，需人工复核,1
新力,新力,待核实,,企业名过短或匿名化，需人工复核,1
NVIDIA,NVIDIA,待核实,,纯英文或缩写企业名，需人工复核,1
GOLDWIND,GOLDWIND,待核实,,纯英文或缩写企业名，需人工复核,1
顺丰,顺丰,待核实,,企业名过短或匿名化，需人工复核,1
苏宁,苏宁,待核实,,企业名过短或匿名化，需人工复核,1
卫龙,卫龙,待核实,,企业名过短或匿名化，需人工复核,1
包圍,包圍,待核实,,企业名过短或匿名化，需人工复核,1
牧原,牧原,待核实,,企业名过短或匿名化，需人工复核,1
Lenovo,Lenovo,待核实,,纯英文或缩写企业名，需人工复核,1
宜化,宜化,待核实,,企业名过短或匿名化，需人工复核,1
YangtzeRiverPharmaceuticalGroup,YangtzeRiverPharmaceuticalGroup,待核实,,纯英文或缩写企业名，需人工复核,1
宝洁,宝洁,待核实,,企业名过短或匿名化，需人工复核,1
小名,小名,待核实,,企业名过短或匿名化，需人工复核,1
AHCE INSURANCE,AHCE INSURANCE,待核实,,纯英文或缩写企业名，需人工复核,1
RyteDance,RyteDance,待核实,,纯英文或缩写企业名，需人工复核,1
nVIDIA,nVIDIA,待核实,,纯英文或缩写企业名，需人工复核,1
DIA,DIA,待核实,,纯英文或缩写企业名，需人工复核,1
